date,hitsArrived,avgRewardsArrived,hitsCompleted,avgRewardsCompleted
2014-06-01 00:00:00,3541.0,0.1827929963287207,4044.0,0.1491394658753709
2014-06-01 01:00:00,2983.0,0.12139792155548106,4780.0,0.09140167364016735
2014-06-01 02:00:00,2534.0,0.11667719021310183,3417.0,0.11692127597307579
2014-06-01 03:00:00,2152.0,0.1658364312267658,4595.0,0.08751686615886833
2014-06-01 04:00:00,1924.0,0.27270790020790026,6048.0,0.1094973544973545
2014-06-01 05:00:00,11759.0,0.08069648779658134,5220.0,0.08287547892720307
2014-06-01 06:00:00,2279.0,0.18074155331285652,5808.0,0.08071797520661157
2014-06-01 07:00:00,5804.0,0.05500344589937974,3570.0,0.10024649859943978
2014-06-01 08:00:00,2306.0,0.07238508239375542,5021.0,0.08506871141206931
2014-06-01 09:00:00,1056.0,0.17709280303030303,5872.0,0.05710149863760218
2014-06-01 10:00:00,1991.0,0.1265846308387745,7205.0,0.050037473976405275
2014-06-01 11:00:00,2190.0,0.11640639269406393,2892.0,0.13897302904564315
2014-06-01 12:00:00,1240.0,0.22725,2319.0,0.14282018111254852
2014-06-01 13:00:00,2985.0,0.13623115577889447,2861.0,0.10541069556099265
2014-06-01 14:00:00,2720.0,0.13795955882352942,2649.0,0.10120422801057001
2014-06-01 15:00:00,2636.0,0.18519347496206373,3599.0,0.199597110308419
2014-06-01 16:00:00,4339.0,0.12991011753860335,6291.0,0.23224447623589253
2014-06-01 17:00:00,4174.0,0.2513967417345472,3476.0,0.13993958573072499
2014-06-01 18:00:00,3151.0,0.11723897175499842,2601.0,0.08347558631295655
2014-06-01 19:00:00,3832.0,0.1309159707724426,2142.0,0.10783846872082167
2014-06-01 20:00:00,3882.0,0.11523183925811437,3359.0,0.11108961000297707
2014-06-01 21:00:00,28419.0,0.0560952179879658,2324.0,0.11828313253012047
2014-06-01 22:00:00,7550.0,0.06657748344370862,3177.0,0.09849858356940511
2014-06-01 23:00:00,8183.0,0.07671391910057436,3369.0,0.10075096467794598
2014-06-02 00:00:00,5708.0,0.10969341275402943,4656.0,0.09528780068728523
2014-06-02 01:00:00,5772.0,0.09293312543312543,5962.0,0.044448171754444814
2014-06-02 02:00:00,3914.0,0.10264435360245273,6505.0,0.09813835511145273
2014-06-02 03:00:00,4679.0,0.054389826886086776,6494.0,0.07152602402217431
2014-06-02 04:00:00,7059.0,0.05823912735514945,7924.0,0.06915699141847552
2014-06-02 05:00:00,2220.0,0.1440045045045045,7641.0,0.07251668629760503
2014-06-02 06:00:00,3448.0,0.12654872389791183,6589.0,0.09108362422218849
2014-06-02 07:00:00,3174.0,0.05659420289855072,4790.0,0.060693110647181636
2014-06-02 08:00:00,1945.0,0.08684318766066838,17120.0,0.03695327102803738
2014-06-02 09:00:00,1107.0,0.22889792231255646,6727.0,0.06446558644269362
2014-06-02 10:00:00,1702.0,0.1393184488836663,5205.0,0.06667627281460135
2014-06-02 11:00:00,1812.0,0.16153421633554083,3992.0,0.10198146292585171
2014-06-02 12:00:00,13243.0,0.060601827380502904,2821.0,0.10515065579581709
2014-06-02 13:00:00,8482.0,0.05244517802405093,3305.0,0.08724357034795763
2014-06-02 14:00:00,8034.0,0.0924906646751307,4337.0,0.06062024440857736
2014-06-02 15:00:00,4525.0,0.14870276243093922,6399.0,0.08809657759024848
2014-06-02 16:00:00,20835.0,0.0802294216462683,5853.0,0.07090039296087476
2014-06-02 17:00:00,12764.0,0.09619711689125665,17401.0,0.20513418769036262
2014-06-02 18:00:00,26877.0,0.06538118093537225,5479.0,0.07110969154955284
2014-06-02 19:00:00,13230.0,0.051781557067271354,6138.0,0.07496415770609319
2014-06-02 20:00:00,12907.0,0.06768342759742775,3909.0,0.09578664620107445
2014-06-02 21:00:00,7573.0,0.11552885250231083,18483.0,0.04561380728236758
2014-06-02 22:00:00,7252.0,0.18049641478212908,6305.0,0.08214750198255354
2014-06-02 23:00:00,11117.0,0.09459836286768014,4512.0,0.11226285460992907
2014-06-03 00:00:00,6893.0,0.14783113303351225,14599.0,0.05263922186451127
2014-06-03 01:00:00,4942.0,0.13329016592472684,6542.0,0.08169672882910425
2014-06-03 02:00:00,10088.0,0.07821173671689136,7219.0,0.07782102784319157
2014-06-03 03:00:00,4833.0,0.08786674943099525,6851.0,0.07247117209166545
2014-06-03 04:00:00,10533.0,0.07921484857115732,6765.0,0.08322542498152254
2014-06-03 05:00:00,15784.0,0.07018373035985809,7755.0,0.07258542875564152
2014-06-03 06:00:00,2019.0,0.09128776622090144,8868.0,0.07620545782589085
2014-06-03 07:00:00,5652.0,0.09373849964614295,8521.0,0.061239291163009045
2014-06-03 08:00:00,2706.0,0.10969696969696968,6573.0,0.06138597291951925
2014-06-03 09:00:00,1645.0,0.13751367781155016,14320.0,0.033180865921787706
2014-06-03 10:00:00,2237.0,0.12004470272686635,10272.0,0.048871690031152645
2014-06-03 11:00:00,3732.0,0.13427920685959271,4169.0,0.06514991604701367
2014-06-03 12:00:00,2659.0,0.12312899586310642,4986.0,0.08825110308864821
2014-06-03 13:00:00,5225.0,0.09633875598086125,4375.0,0.07707885714285714
2014-06-03 14:00:00,10492.0,0.0826706061761342,5016.0,0.09389553429027113
2014-06-03 15:00:00,6460.0,0.08992569659442724,6430.0,0.07238258164852256
2014-06-03 16:00:00,15043.0,0.09712357907332314,7768.0,0.10089855818743564
2014-06-03 17:00:00,5972.0,0.20395679839249833,9737.0,0.07477046318167813
2014-06-03 18:00:00,4083.0,0.14197648787656136,6183.0,0.07710981724082161
