date_part	reward	count
2011	0.93	1081
2011	0.94	1008
2011	0.95	1006
2011	0.96	951
2011	0.97	1014
2011	0.98	999
2011	0.99	958
2011	1	6740
2012	0.01	11139
2012	0.02	16006
2012	0.03	8997
2012	0.04	101387
2012	0.05	31795
2012	0.06	7867
2012	0.07	6702
2012	0.08	4454
2012	0.09	3904
2012	0.1	15723
2012	0.11	2740
2012	0.12	3582
2012	0.13	2308
2012	0.14	2916
2012	0.15	7914
2012	0.16	2800
2012	0.17	3720
2012	0.18	3478
2012	0.19	2615
2012	0.2	14350
2012	0.21	2693
2012	0.22	4391
2012	0.23	3583
2012	0.24	3472
2012	0.25	11263
2012	0.26	4574
2012	0.27	4285
2012	0.28	3399
2012	0.29	4007
2012	0.3	11860
2012	0.31	2991
2012	0.32	4419
2012	0.33	4256
2012	0.34	7031
2012	0.35	4752
2012	0.36	4606
2012	0.37	3854
2012	0.38	3708
2012	0.39	5921
2012	0.4	6371
2012	0.41	5246
2012	0.42	3187
2012	0.43	6213
2012	0.44	3733
2012	0.45	5962
2012	0.46	4304
2012	0.47	3456
2012	0.48	5006
2012	0.49	4761
2012	0.5	14196
2012	0.51	3282
2012	0.52	4729
2012	0.53	3624
2012	0.54	5942
2012	0.55	3976
2012	0.56	3025
2012	0.57	3562
2012	0.58	5171
2012	0.59	2593
2012	0.6	5187
2012	0.61	30871
2012	0.62	3267
2012	0.63	2754
2012	0.64	3001
2012	0.65	4600
2012	0.66	2946
2012	0.67	2042
2012	0.68	4592
2012	0.69	2974
2012	0.7	3392
2012	0.71	2584
2012	0.72	3335
2012	0.73	2549
2012	0.74	2013
2012	0.75	7056
2012	0.76	2029
2012	0.77	1793
2012	0.78	2443
2012	0.79	1830
2012	0.8	3527
2012	0.81	3145
2012	0.82	1846
2012	0.83	1682
2012	0.84	1594
2012	0.85	1841
2012	0.86	2082
2012	0.87	1602
2012	0.88	1669
2012	0.89	1801
2012	0.9	1600
2012	0.91	1377
2012	0.92	1423
2012	0.93	1215
2012	0.94	1038
2012	0.95	1348
2012	0.96	1312
2012	0.97	1488
2012	0.98	1461
2012	0.99	954
2012	1	8645
2013	0.01	9267
2013	0.02	7658
2013	0.03	7502
2013	0.04	11054
2013	0.05	82887
2013	0.06	3343
2013	0.07	4971
2013	0.08	2899
2013	0.09	4358
2013	0.1	12452
2013	0.11	2722
2013	0.12	3170
2013	0.13	2588
2013	0.14	2241
2013	0.15	12920
2013	0.16	2898
2013	0.17	5798
2013	0.18	3567
2013	0.19	5390
2013	0.2	12717
2013	0.21	4541
2013	0.22	4286
2013	0.23	5619
2013	0.24	3811
2013	0.25	14853
2013	0.26	6405
2013	0.27	4306
2013	0.28	3752
2013	0.29	5433
2013	0.3	17949
2013	0.31	3057
2013	0.32	5016
2013	0.33	4377
2013	0.34	4748
2013	0.35	4533
2013	0.36	3235
2013	0.37	2736
2013	0.38	6715
2013	0.39	3301
2013	0.4	8164
2013	0.41	3705
2013	0.42	1922
2013	0.43	6179
2013	0.44	2056
2013	0.45	8212
2013	0.46	1806
2013	0.47	5107
2013	0.48	1930
2013	0.49	2333
2013	0.5	17595
2013	0.51	2415
2013	0.52	2603
2013	0.53	4822
2013	0.54	2804
2013	0.55	2241
2013	0.56	4952
2013	0.57	1703
2013	0.58	4878
2013	0.59	1277
2013	0.6	17376
2013	0.61	21089
2013	0.62	1520
2013	0.63	1511
2013	0.64	1943
2013	0.65	2462
2013	0.66	2780
2013	0.67	1152
2013	0.68	3691
2013	0.69	1708
2013	0.7	5914
2013	0.71	1108
2013	0.72	1233
