requester_id	num_followers
A25HBO5V8S8SEA	1
A1FW2P8KXRLAHV	1
A2JBZFUFVXWFXH	1
A2QYARKPS0ZLUZ	1
A3SC5BB4OINAKQ	1
A330SU74WATUYX	1
A1O59F6GHGMAM9	1
A26PH6VG8R81LY	1
A2OCLS8GA5HWLJ	1
A8Q74QJIPP5IA	1
AWXG3T7W04FVG	1
A6HRH6JJGCCLR	1
A35NZEO03E73BW	1
A3MXW29QGFK6QM	1
AWSFM4FIWT1BX	1
A22IC4PFEEMG13	1
A2I26W5NYU1ADM	1
A3BR95WQZ94ADR	1
A2RIFO4AJIMSBP	1
A2JQ49YC9MOJZ1	1
A29CXERANK61RA	1
A1A9BZDSCK82WS	1
A2IO2MM262K6ZZ	1
A3LPKJ3C8DPE8O	1
A254A4TGHWYV0X	1
A2C5ODE2MXIX1X	1
A2UAA5X9MLDLSA	1
A2J2O5STGCTAH2	1
A2GTD10I67CYMN	1
A1V2K975NIB657	1
A006153821C819I8MVQC9	1
A21PJDQHKEAQCC	1
A1PI0NVSJRFVTP	1
A3B1HX2UPXUQQN	1
AMMYC7101RBEG	1
APAKVRRTDEB34	1
A15XGBBYAKKPBO	1
AMICMQ5BBQXWN	1
A2YIYIKIQQUK5G	1
A3IRX42Q88JV2P	1
A31RR7XIJFOKYY	1
AOCWM7JMUM6AX	1
A1LWI1809TP5XH	1
A3NP58OP2X5XJ2	1
A2TU7SOXKB63P1	1
AWN2K07N7A0K7	1
A5E8P2L5P6JBS	1
ARPUGQAZZWZ0A	1
A32MXM9AYO87EL	1
A34Y0INWSLX4AQ	1
AG552GL2GWGXK	1
AFX1D8GW8BJYM	1
A37I8GGF6ETKZU	1
A2117XOF7QITKV	1
A2FNZCP7W67ZA2	1
A3223C0RITQEE8	1
AZPKAS44BDNNE	1
A3J0M9MZH85WD7	1
A15NGRMOJZ2B16	1
A1E6AB785Y9FNZ	1
ANIRDPX6I4G1H	1
A3R7CEQ8PLSB9N	1
ATMLS1J6EE1WS	1
A2S7AIIXXY3CT	1
A2J2XAJ0KTYLIU	1
A6GTPNKZVZ9PS	1
A2JZALOX7F4XX9	1
A1SH12CS04JI1J	1
A3GDBVOQNV2NQI	1
A2YKFXU43C6AQN	1
A24US7SXY8ZQK9	1
A3UWROVFPC6X5M	1
A3AVSX9XPH68LR	1
A1KI227DNDG4K1	1
A2TG63MH5A6MW4	1
A26RELGN2AX0LA	1
ARGI15N0ARLSF	1
A2QG4XREC4RB1C	1
A1DGSB2GKASN7Q	1
A2EFRHZ39MMQYQ	1
A1IWCAELIKUG2S	1
A1L4NCD6NQWAOQ	1
AGTYA8OBBSFW2	1
A29O52DSEVRRIT	1
AUP8YXWJ9ST75	1
A33NP7FXCP771M	1
AVOA3DRNBY4I9	1
AESZXK8RWP0O6	1
A2HDPXF2D068ZW	1
A3AK76QJQ4RP1G	1
A1402JAHG9LVEH	1
AZUZUS728KPDF	1
A26CTZSAUXIVSA	1
A1HRTPO9QOT708	1
A3HS59FLWGO7QU	1
A3I0HWW11ZSKEJ	1
A1CLOPPG9HF2B0	1
A3R4FD7RTHS41C	1
A2DE2VC5ICV4TS	1
A39TMYV239ALCG	1
A3OVAJU1C9JQHA	1
A83VHP7UE0XL1	1
A2G2DT29K4I5BR	1
A4JVAZ8IYG82L	1
A1IZSYKCRCOU17	1
