hitsArrived,avgRewardsArrived,hitsCompleted
3541.0,0.1827929963287207,4044.0
2983.0,0.12139792155548106,4780.0
2534.0,0.11667719021310183,3417.0
2152.0,0.1658364312267658,4595.0
1924.0,0.27270790020790026,6048.0
11759.0,0.08069648779658134,5220.0
2279.0,0.18074155331285652,5808.0
5804.0,0.05500344589937974,3570.0
2306.0,0.07238508239375542,5021.0
1056.0,0.17709280303030303,5872.0
1991.0,0.1265846308387745,7205.0
2190.0,0.11640639269406393,2892.0
1240.0,0.22725,2319.0
2985.0,0.13623115577889447,2861.0
2720.0,0.13795955882352942,2649.0
2636.0,0.18519347496206373,3599.0
4339.0,0.12991011753860335,6291.0
4174.0,0.2513967417345472,3476.0
3151.0,0.11723897175499842,2601.0
3832.0,0.1309159707724426,2142.0
3882.0,0.11523183925811437,3359.0
28419.0,0.0560952179879658,2324.0
7550.0,0.06657748344370862,3177.0
8183.0,0.07671391910057436,3369.0
5708.0,0.10969341275402943,4656.0
5772.0,0.09293312543312543,5962.0
3914.0,0.10264435360245273,6505.0
4679.0,0.054389826886086776,6494.0
7059.0,0.05823912735514945,7924.0
2220.0,0.1440045045045045,7641.0
3448.0,0.12654872389791183,6589.0
3174.0,0.05659420289855072,4790.0
1945.0,0.08684318766066838,17120.0
1107.0,0.22889792231255646,6727.0
1702.0,0.1393184488836663,5205.0
1812.0,0.16153421633554083,3992.0
13243.0,0.060601827380502904,2821.0
8482.0,0.05244517802405093,3305.0
8034.0,0.0924906646751307,4337.0
4525.0,0.14870276243093922,6399.0
20835.0,0.0802294216462683,5853.0
12764.0,0.09619711689125665,17401.0
26877.0,0.06538118093537225,5479.0
13230.0,0.051781557067271354,6138.0
12907.0,0.06768342759742775,3909.0
7573.0,0.11552885250231083,18483.0
7252.0,0.18049641478212908,6305.0
11117.0,0.09459836286768014,4512.0
6893.0,0.14783113303351225,14599.0
4942.0,0.13329016592472684,6542.0
10088.0,0.07821173671689136,7219.0
4833.0,0.08786674943099525,6851.0
10533.0,0.07921484857115732,6765.0
15784.0,0.07018373035985809,7755.0
2019.0,0.09128776622090144,8868.0
5652.0,0.09373849964614295,8521.0
2706.0,0.10969696969696968,6573.0
1645.0,0.13751367781155016,14320.0
2237.0,0.12004470272686635,10272.0
3732.0,0.13427920685959271,4169.0
2659.0,0.12312899586310642,4986.0
5225.0,0.09633875598086125,4375.0
10492.0,0.0826706061761342,5016.0
6460.0,0.08992569659442724,6430.0
15043.0,0.09712357907332314,7768.0
5972.0,0.20395679839249833,9737.0
4083.0,0.14197648787656136,6183.0
9445.0,0.15992588671254632,18433.0
9762.0,0.10731919688588405,5618.0
8079.0,0.27112513924990717,6595.0
7305.0,0.12207392197125257,20472.0
9221.0,0.07547446047066479,2361.0
4276.0,0.11515902712815716,3677.0
3168.0,0.3969854797979798,2607.0
3937.0,0.16386334772669545,4500.0
5366.0,0.14210212448751397,6186.0
3073.0,0.15435730556459484,6825.0
11129.0,0.07817953095516218,5987.0
3888.0,0.0447633744855967,6448.0
3514.0,0.05375355719977234,3678.0
12198.0,0.07583456304312182,3164.0
1790.0,0.07745251396648044,3968.0
4154.0,0.04740972556571979,3076.0
2542.0,0.09371754523996853,7980.0
2284.0,0.114146234676007,5026.0
9815.0,0.07123280692817116,4803.0
2091.0,0.2173122907699665,10072.0
4492.0,0.20532947462154943,7687.0
10689.0,0.09514921882308915,4984.0
5864.0,0.14342598908594814,4363.0
12678.0,0.10570279223852341,5945.0
9594.0,0.08834062956014176,4233.0
5185.0,0.1768428158148505,4270.0
24884.0,0.08451776241761774,6165.0
9589.0,0.10921889665241422,7213.0
7102.0,0.12260490002816109,6330.0
5243.0,0.10873927140949838,7250.0
5218.0,0.10818512840168647,4199.0
3522.0,0.10879613855763771,5982.0
26443.0,0.1038513028022539,22277.0
3535.0,0.08094766619519093,8147.0
2589.0,0.10766319042101198,7134.0
2963.0,0.08519068511643604,15971.0
7062.0,0.0517714528462192,4254.0
1925.0,0.09350649350649351,3044.0
5994.0,0.31716883550216884,3394.0
2334.0,0.06742073693230506,7259.0
1773.0,0.09297800338409475,3423.0
7037.0,0.07524513286912037,3458.0
114140.0,0.039912475906781146,26413.0
13228.0,0.10675990323556094,9576.0
24950.0,0.09030821643286574,8921.0
