pay	comm	fast	fair	reviews	tos_flags	followers
3.56	2.56	4.35	4.33	0.37	0	2
3.8	5	5	5	0.05	0	2
4.25	4	4	4.25	0.05	0.42	2
2.33	2.33	3	2.6	0.06	0	2
3.4	4	4	4.2	0.06	0	2
4	5	5	5	0.03	0	2
4.29	3	3.14	4.33	0.08	0	2
3.83	5	4.67	5	0.06	0	2
5	0	5	5	0.05	0	2
3.2	2	1.86	3.06	0.37	0	2
4.23	3.4	4.23	3.43	0.14	0	2
3.53	4.69	4.22	4.32	0.36	0	2
3	0	1	5	0.01	0	2
3.75	5	5	5	0.04	0	2
2.25	0	5	5	0.05	0	2
5	4	5	5	0.03	0	2
3.67	1	5	3.75	0.04	0	2
3.83	3.07	4.08	3.58	0.39	0	2
5	0	5	5	0.02	0	2
4.78	3.4	4.67	4.11	0.08	0	2
5	0	4	5	0.01	0	2
3.38	3	3.35	3.4	0.23	0.83	2
1.33	1	1.5	2	0.04	0.21	2
5	5	5	5	0.01	0	2
4.5	4.67	4.75	4.25	0.04	0	2
3.33	3	4	4	0.06	0	2
2.9	3	5	5	0.1	0	2
3.75	5	5	5	0.08	0	2
1.5	1	2	2.5	0.02	0	2
4	0	5	5	0.01	0	2
5	5	5	5	0.05	0	2
4	4	4	5	0.01	0	2
3	5	5	4.5	0.02	0	2
5	0	5	5	0.01	0	2
1.75	1.33	3.29	1.71	0.08	0	3
2.22	1.42	1.81	2.71	0.22	0	3
4	3.86	4.11	4.11	0.1	0	3
4.54	4.46	4.6	4.54	1.43	0.21	3
3.83	2.92	3.49	3.32	0.37	0	3
4.22	4.18	4.08	4.38	0.49	0.42	3
3.58	3.75	4.69	4.77	0.39	0	3
2.12	3.72	4.42	4.51	0.49	0	3
5	5	4.33	4.33	0.06	0	3
4	0	4.8	5	0.06	0	3
2.92	2.37	4.4	3.84	0.49	0	3
2.04	1.19	2.2	1.62	0.9	0.21	3
3.63	3.73	4.41	4.41	0.28	0	3
5	5	5	5	0.14	0	3
3.45	2.99	3.25	3.6	1.57	0.21	3
5	0	4.5	5	0.04	0	3
4.79	5	5	5	0.46	0	3
2.92	2.84	2.97	3.08	0.39	0.21	3
4.73	5	5	5	0.14	0	3
3.96	4.33	4.68	4.71	0.94	1.46	3
3.47	4.56	4.63	4.67	0.31	0	3
2.8	2.5	3.29	4.38	0.1	0	3
4.72	4.71	4.8	4.9	0.41	0	3
3.48	3.53	3.52	3.81	0.21	0	3
4.45	4.29	4.2	4.3	0.1	0	3
3.41	3.65	4.27	4.22	1.23	0	3
4.16	4.71	5	5	0.44	0	3
5	5	5	5	0.17	0	3
2.92	2.96	3.85	3.61	1.16	0	3
4.23	4.54	4.69	4.69	0.25	0	3
4.21	1.8	4.74	4.86	0.27	0	3
4.88	0	4.86	5	0.08	0	3
1.76	2.23	3.48	2.85	0.79	0	3
3.78	2.78	3.94	3.83	0.18	0	3
4.84	4.56	4.86	4.89	0.37	0	3
3.38	3.81	4.23	4.25	0.62	0	3
2.11	1	4.5	4.5	0.08	0	3
4.09	4	4.16	4.18	0.27	0	3
2.95	2.53	3.18	3.44	0.63	0.83	3
4.95	5	5	5	0.18	0	3
3.77	5	5	5	0.13	0	3
3.56	3.13	4.36	4.14	0.16	0	3
4.44	0	5	5	0.08	0	3
4.39	4.67	4.66	4.64	1.05	0	3
4.1	3	4.78	4.11	0.09	0	3
4.12	4.37	4.71	4.63	0.27	0	3
3.07	2.5	4.4	3.8	0.15	0.21	3
1.88	0	3.8	4.5	0.08	0	3
3.36	3	3.86	4.71	0.11	0	3
4.83	5	5	5	0.06	0	3
3.56	5	5	5	0.08	0	3
2.4	0	5	5	0.05	0	3
4.5	0	5	5	0.02	0	3
3.67	1	4.33	4	0.06	0	3
5	5	5	5	0.05	0	3
4.75	4.45	4.84	4.86	0.4	0	3
4.64	4	4.9	4.91	0.12	0	3
4.67	5	5	4.95	0.8	0.63	4
4.81	5	5	4.93	0.25	0	4
4.59	4.29	5	5	0.16	0	4
4.7	4.2	4.86	4.86	0.31	0	4
3.78	4.86	4.88	5	0.26	0	4
4.06	3.88	4.57	4.61	0.7	0.21	4
4.5	1	4	3.78	0.1	0.21	4
3.33	1	3.78	3.11	0.09	0	4
3.33	4.5	4.75	5	0.06	0.42	4
4.33	2.62	3.28	4.15	0.43	0	4
3.03	4.5	4.47	4.55	0.39	0	4
4.12	3.75	4.57	3.99	0.87	0.21	4
3.17	3.89	4.33	4.31	0.19	0	4
3.12	4	4.43	4.34	0.93	0	4
2.23	2.72	3.63	4.31	0.52	0	4
4.56	4.7	4.83	4.74	0.34	0	4
4.06	5	4.58	5	0.15	0	4
4.96	5	4.96	5	0.24	0	4
3.44	3.75	3.89	4.13	0.09	0	4
4.85	5	4.98	5	0.45	0	4
4.65	4.6	4.85	4.85	0.2	0	4
4.24	4.33	4.68	4.54	0.61	0	4
4.32	4.97	4.93	5	0.79	0	4
3.33	3	4.55	4.45	0.13	0.21	4
3.06	2.6	3.25	3.13	0.21	0	4
2.84	3.76	4.37	4.02	0.83	0	4
2.92	1.67	4.07	2.5	1.11	0	4
2.7	2.2	3.3	3.18	0.1	0	4
4.64	4.81	5	4.94	0.35	0	4
3.05	2.36	3.57	2.83	0.41	0	4
4.16	4.03	4.29	4.13	0.73	5	4
4.29	4.56	4.37	4.7	0.31	0	4
4.7	3	4.75	4.5	0.2	0	4
4.75	4.5	4.58	4.84	0.29	0	4
4.4	3.8	4.33	4.36	0.15	0	4
4.87	5	5	5	0.36	0	4
1.72	1.55	3.67	3.58	0.32	0	4
4.63	4.76	4.87	4.86	0.92	0.42	4
3.5	5	5	5	0.08	0	4
4.33	5	4.61	4.94	0.24	0.21	4
2.44	2.3	3.49	3.62	0.48	0	4
4.19	4.8	4.91	4.91	0.87	0	4
3.14	1	3.67	3.67	0.08	0	4
3.88	0	4.67	5	0.08	0.42	4
3.7	3.07	4.01	4.05	0.96	0.42	4
3.5	4	4.2	3.78	0.09	0	4
5	5	5	5	0.02	0	4
5	5	5	5	0.01	0	4
4	1.8	1.47	3.17	0.14	0	4
4.92	4.45	4.88	5	0.26	0	4
3.5	0	5	5	0.02	0	4
3.48	3.56	4.26	4	0.32	0.21	5
4.78	4.78	4.89	4.89	1.7	0	5
3.78	2.81	3.71	3.52	0.45	0	5
4.33	3.29	4.57	4.57	0.2	0	5
4.79	5	5	5	0.19	0	5
3.96	3.24	4.23	4.29	0.52	0	5
3.47	1.79	3.11	3.49	1.21	0.21	5
4.45	3.83	4.64	4.27	0.1	0	5
3.75	3.38	3.9	4.26	0.19	0	5
4.24	3.67	4.63	4.5	0.16	0	5
2.36	3	4.08	4.18	0.4	0	5
4.46	4	4.83	4.83	0.23	0	5
4.63	4.62	4.69	4.75	0.16	0	5
4.67	5	5	5	0.03	0	5
4.56	5	5	4.84	0.26	0	5
1	0	5	5	0.01	0	5
3.1	1.83	4.11	2.83	0.11	0	5
3.52	3.55	4.84	4.84	0.28	0	5
3.6	3.4	3.17	3.83	0.13	0	5
2.9	1.29	2.86	4.13	0.11	0	5
4.86	5	5	5	0.07	0	5
4.18	5	4.94	5	0.16	0	5
4	3	3.75	4	0.08	0	5
3.86	3	5	4.57	0.08	0	5
4.58	3.9	4.53	4.87	0.51	0	6
2.52	3.15	3.5	3.68	0.25	0	6
3.32	4.25	4.11	4.69	0.22	0	6
2.78	3.93	4.73	4.67	4.08	0.21	6
4.43	4.93	4.91	4.84	0.48	0	6
4.28	3.65	4.24	4.6	1.02	0.21	6
4.54	4.8	4.68	4.79	0.25	0	6
2.39	1.2	2.83	1.59	1.02	0	6
2.96	3.89	4.47	4.8	0.46	0	6
4.93	4.75	5	5	0.28	0	6
4.14	5	5	5	0.21	0	6
2.79	2.47	4.66	2.63	0.27	0	6
3.87	3.92	4.5	3.75	0.15	0	6
4.17	2.33	4.17	4.33	0.08	0	6
4.71	5	5	5	0.17	0	6
3.24	1.91	2.89	3.13	0.21	0	6
4.63	4.14	4.94	4.78	0.19	0	6
2.33	2.29	3.71	2.81	1.07	0	7
2.89	2.56	3.3	3.6	1.12	0.63	7
4.31	5	5	4.82	0.12	0	7
4.77	3.67	4.46	3.93	0.14	0	7
4.45	5	5	5	0.1	0	7
1.42	1.03	1.36	1.2	1.47	2.5	7
4.4	4.71	4.84	4.7	0.19	0	7
3.62	4.3	4.08	4.25	0.12	0.21	7
3.91	4.5	4.9	5	0.11	0	7
2.23	2.71	4.92	5	0.21	0	7
3.79	4.18	4.84	4.46	0.28	0	7
3.9	2.17	3.71	3.67	0.2	0	7
3.18	2.22	3.35	3.2	1.09	0.42	8
4.45	4.63	4.84	4.95	0.42	0	8
2.45	2.54	3.55	3.98	0.59	0	8
4.6	4.1	4.67	4.67	0.48	0	8
3.5	4	4.19	4.18	0.18	0	8
2.15	2.44	3.47	3.2	0.22	0	8
4.26	4.41	4.57	4.63	1.53	0.21	8
3.37	3.63	4.08	3.99	0.72	0	8
2.87	3.67	4.6	5	0.15	0	8
4.91	5	4.72	4.9	0.31	0	8
4.43	4	4.76	4.79	0.43	0	9
2.49	3.03	2.72	3.3	1.04	0.21	9
4.02	3.21	4.93	4.72	0.42	0	9
4.24	4.09	4.52	4.51	1.88	0.83	9
2.41	2.71	2.76	3.09	2.16	0.42	9
4.93	4.2	4.97	4.97	0.28	0	9
2.31	1.94	3.39	2.96	0.47	0	9
4.57	0	5	4.86	0.08	0.21	9
4.87	5	5	5	0.14	0	10
2.67	4.25	4.97	4.92	0.67	0	10
4.39	4.64	4.98	5	0.44	0	10
2.39	2.77	3.18	3.89	1.64	0.42	11
3.2	2.97	3.35	3.29	0.48	0	11
4.4	4.14	4.71	4.73	1.35	0	11
4.12	3.12	4.36	4.1	0.42	0.21	12
3.54	3.54	3.94	3.49	1.09	1.04	12
3.53	3.07	4.46	4.26	1.18	0	12
4.05	5	4.84	4.8	0.2	0.21	13
4.03	2.95	3.94	4.24	0.35	0.21	13
3.36	5	4	4.56	0.16	0	13
4.36	3.55	4.63	4.36	0.99	0	14
4.37	4.08	4.25	4.39	1.61	1.25	14
3.71	3.63	3.44	3.77	2.06	0.21	14
3.45	3.87	4.69	4.48	1.41	0	14
3.15	3.71	4.69	4.7	0.52	0	14
4.76	4.6	4.71	4.76	0.16	0	16
3.92	4.53	4.69	4.78	0.5	0	16
4.66	4.43	4.68	4.7	0.54	0	16
3.88	2.44	4.42	4.14	0.82	0	17
4.58	5	4.89	4.97	0.37	0	17
4.83	5	4.67	5	0.08	0	17
4.25	4.33	4.63	4.76	0.16	0	18
2.84	3.78	4.28	3.67	2.86	0.21	18
3.99	3.95	4.4	4.33	5	0.21	19
2.6	5	5	5	0.05	0.42	19
3.82	3.6	4.73	4.13	1.2	0	20
4.97	5	5	5	0.3	0.21	20
5	5	5	5	0.13	0	20
3.85	1.8	3.95	4.35	0.2	0	21
4.64	3.75	4.6	4.67	0.38	0.21	22
2.83	3.08	3.17	3.79	1.17	0	22
4.78	4.31	4.57	4.79	0.75	0	23
3.96	4.17	4.61	4.48	2.29	0.63	29
2.71	2.27	2.9	2.99	2.84	0.42	34
4.94	4.83	4.98	4.96	2.91	0.21	50
