year,batch_size,instances
2014,3694,1
2014,1500,5
2014,21932,1
2014,9405,1
2014,652,2
2014,12131,1
2014,3088,2
2014,9337,1
2014,1367,2
2014,1255,1
2014,11972,1
2014,1505,2
2014,5739,1
2014,3523,1
2014,10399,1
2014,1227,2
2014,16930,1
2014,271,26
2014,7213,1
2014,1977,1
2014,345141,1
2014,2695,1
2014,3082,1
2014,2693,1
2014,1975,1
2014,12228,1
2014,2690,1
2014,3226,1
2014,16255,1
2014,1973,1
2014,277,7
2014,15873,1
2014,1604,2
2014,9755,1
2014,1607,1
2014,1225,1
2014,1970,2
2014,10571,1
2014,3232,2
2014,3231,2
2014,5199,1
2014,1969,1
2014,1616,2
2014,1617,1
2014,1614,1
2014,1967,1
2014,1961,3
2014,1962,1
2014,1963,3
2014,1985,1
2014,41591,1
2014,1363,1
2014,8846,1
2014,2873,1
2014,2872,1
2014,2871,1
2014,2870,1
2014,2875,1
2014,2874,1
2014,4986,1
2014,2878,1
2014,3355,1
2014,3354,1
2014,3357,1
2014,3350,1
2014,17830,1
2014,5448,1
2014,5440,1
2014,33992,1
2014,1763,1
2014,1760,2
2014,1761,2
2014,1764,2
2014,1143,2
2014,1140,1
2014,1146,2
2014,1147,4
2014,1144,3
2014,2964,1
2014,6969,1
2014,1148,2
2014,1149,1
2014,11230,1
2014,2966,2
2014,692,3
2014,693,3
2014,690,3
2014,1545,1
2014,696,4
2014,697,4
2014,694,6
2014,695,6
2014,698,5
2014,699,3
2014,11115,1
2014,1548,2
2014,1549,1
2014,1220,2
2014,543,4
2014,540,4
2014,541,3
2014,546,3
2014,547,2
2014,544,2
2014,545,4
2014,3784,1
2014,548,2
2014,549,6
2014,1782,2
2014,1783,1
2014,6403,1
2014,13,304
2014,1786,1
2014,1627,1
2014,8189,1
2014,12826,1
2014,6000,3
2014,12820,1
2014,7563,1
2014,11025,1
2014,5719,1
2014,5610,1
2014,414,6
2014,415,8
2014,416,7
2014,417,12
2014,410,5
2014,411,13
2014,412,6
2014,413,11
2014,1384,1
2014,1386,1
2014,1387,1
2014,418,9
2014,419,6
2014,23287,1
2014,3826,1
2014,2769,4
2014,47027,1
2014,5135,1
2014,3043,1
2014,781,2
2014,2445,1
2014,2305,2
2014,7538,1
2014,368,8
2014,369,5
2014,366,16
2014,367,8
2014,364,12
2014,365,10
2014,362,11
2014,363,10
2014,360,6
2014,361,4
2014,380,6
2014,381,5
2014,382,8
2014,383,8
2014,384,7
2014,385,4
2014,386,8
2014,387,11
2014,388,8
2014,389,6
2014,4759,1
2014,4755,1
2014,4757,1
2014,9962,1
2014,5878,1
2014,11297,1
2014,3759,1
2014,25130,1
2014,3751,1
2014,21124,1
2014,3580,1
2014,3754,1
2014,1778,1
2014,2191,1
2014,258,13
2014,259,11
2014,2194,1
2014,2195,3
2014,2196,1
2014,2197,1
2014,252,13
